29;484;"{""name"":""Dunbarton Sobremesa Br\u00fbl\u00e9e Robusto"",""artikul_number"":""584"",""price_per_piece"":""1240"",""pieces"":""13"",""package_price"":""161.20"",""status"":""active"",""state"":""new""}";"2020-11-26 09:55:22";584;584;02.06.2020
30;485;"{""name"":""Dunbarton Sobremesa Br\u00fbl\u00e9e Toro"",""artikul_number"":""585"",""price_per_piece"":""1340"",""pieces"":""13"",""package_price"":""174.20"",""status"":""active"",""state"":""new""}";"2020-11-26 09:55:42";585;585;02.06.2020
31;486;"{""name"":""Dunbarton Sobremesa Br\u00fbl\u00e9e Gordo"",""artikul_number"":""586"",""price_per_piece"":""1390"",""pieces"":""13"",""package_price"":""180.70"",""status"":""active"",""state"":""new""}";"2020-11-26 09:56:04";586;586;02.06.2020
32;487;"{""name"":""Dunbarton Sobremesa Corona Grande"",""artikul_number"":""587"",""price_per_piece"":""990"",""pieces"":""25"",""package_price"":""247.50"",""status"":""active"",""state"":""new""}";"2020-11-26 09:56:35";587;587;02.06.2020
33;488;"{""name"":""Dunbarton Sobremesa Cervantes Fino"",""artikul_number"":""588"",""price_per_piece"":""1140"",""pieces"":""25"",""package_price"":""285.00"",""status"":""active"",""state"":""new""}";"2020-11-26 09:57:42";588;588;02.06.2020
34;489;"{""name"":""Dunbarton Sobremesa Robusto Largo"",""artikul_number"":""589"",""price_per_piece"":""1160"",""pieces"":""25"",""package_price"":""290.00"",""status"":""active"",""state"":""new""}";"2020-11-26 09:57:57";589;589;02.06.2020
35;490;"{""name"":""Dunbarton Sobremesa El Americano"",""artikul_number"":""590"",""price_per_piece"":""1240"",""pieces"":""25"",""package_price"":""310.00"",""status"":""active"",""state"":""new""}";"2020-11-26 09:58:22";590;590;02.06.2020
36;491;"{""name"":""Dunbarton Sobremesa Torpedo Tiempo"",""artikul_number"":""591"",""price_per_piece"":""1300"",""pieces"":""25"",""package_price"":""325.00"",""status"":""active"",""state"":""new""}";"2020-11-26 09:58:52";591;591;02.06.2020
37;492;"{""name"":""Dunbarton Sobremesa Gran Imperiales"",""artikul_number"":""592"",""price_per_piece"":""1340"",""pieces"":""25"",""package_price"":""335.00"",""status"":""active"",""state"":""new""}";"2020-11-26 09:59:21";592;592;02.06.2020
38;493;"{""name"":""Dunbarton Sobremesa Short Churchill"",""artikul_number"":""593"",""price_per_piece"":""1120"",""pieces"":""14"",""package_price"":""156.80"",""status"":""active"",""state"":""new""}";"2020-11-26 09:59:43";593;593;02.06.2020
39;494;"{""name"":""Dunbarton Sobremesa Elegante en Cedros"",""artikul_number"":""594"",""price_per_piece"":""1440"",""pieces"":""13"",""package_price"":""187.20"",""status"":""active"",""state"":""new""}";"2020-11-26 10:02:24";594;594;02.06.2020
