"id";"product_id";"data";"created_at";"updated_at"
"19";"474";"{""old"":{""id"":""474"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""474"",""current_number"":""574"",""name"":""Dunbarton Sin Compromiso Selecci\u00f3n No. 2 Torpedo"",""artikul_number"":""574"",""price_per_piece"":""1790"",""pieces"":""13"",""package_price"":""232.70"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:46:23";"2020-11-26 10:46:23"
"20";"475";"{""old"":{""id"":""475"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""475"",""current_number"":""575"",""name"":""Dunbarton Sin Compromiso Selecci\u00f3n No. 5"",""artikul_number"":""575"",""price_per_piece"":""1740"",""pieces"":""13"",""package_price"":""226.20"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:46:53";"2020-11-26 10:46:53"
"21";"476";"{""old"":{""id"":""476"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""476"",""current_number"":""576"",""name"":""Dunbarton Sin Compromiso Selecci\u00f3n No. 7"",""artikul_number"":""576"",""price_per_piece"":""1840"",""pieces"":""13"",""package_price"":""239.20"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:47:20";"2020-11-26 10:47:20"
"22";"477";"{""old"":{""id"":""477"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""477"",""current_number"":""577"",""name"":""Dunbarton Sin Compromiso Selecci\u00f3n Intr\u00e9pido"",""artikul_number"":""577"",""price_per_piece"":""1590"",""pieces"":""13"",""package_price"":""206.70"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:52:25";"2020-11-26 10:52:25"
"23";"478";"{""old"":{""id"":""478"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""478"",""current_number"":""578"",""name"":""Dunbarton Sin Compromiso Selecci\u00f3n Espada Estoque"",""artikul_number"":""578"",""price_per_piece"":""1740"",""pieces"":""13"",""package_price"":""226.20"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:52:51";"2020-11-26 10:52:51"
"24";"479";"{""old"":{""id"":""479"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""479"",""current_number"":""579"",""name"":""Dunbarton Todos Las Dias Half Churchill"",""artikul_number"":""579"",""price_per_piece"":""1090"",""pieces"":""10"",""package_price"":""109.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:53:09";"2020-11-26 10:53:09"
"25";"480";"{""old"":{""id"":""480"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""480"",""current_number"":""580"",""name"":""Dunbarton Todos Las Dias Thick Londsdale"",""artikul_number"":""580"",""price_per_piece"":""1240"",""pieces"":""10"",""package_price"":""124.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:53:33";"2020-11-26 10:53:33"
"26";"481";"{""old"":{""id"":""481"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""481"",""current_number"":""581"",""name"":""Dunbarton Todos Las Dias Robusto"",""artikul_number"":""581"",""price_per_piece"":""1190"",""pieces"":""10"",""package_price"":""119.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:53:52";"2020-11-26 10:53:52"
"27";"482";"{""old"":{""id"":""482"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""482"",""current_number"":""582"",""name"":""Dunbarton Todos Las Dias Toro"",""artikul_number"":""582"",""price_per_piece"":""1290"",""pieces"":""10"",""package_price"":""129.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:54:10";"2020-11-26 10:54:10"
"28";"483";"{""old"":{""id"":""483"",""current_number"":"""",""name"":"""",""artikul_number"":"""",""price_per_piece"":"""",""pieces"":"""",""package_price"":"""",""status"":"""",""state"":"""",""date_changed"":""""},""new"":{""id"":""483"",""current_number"":""583"",""name"":""Dunbarton Todos Las Dias Double Wide Belicoso"",""artikul_number"":""583"",""price_per_piece"":""1290"",""pieces"":""10"",""package_price"":""129.00"",""status"":""active"",""state"":""new"",""date_changed"":""02.06.2020""}}";"2020-11-26 10:54:28";"2020-11-26 10:54:28"
